"concert_id","date","venue","city","latitude","longitude","country","tour","song_name"
"5bab83b8","13-09-2024","Qudos Bank Arena","Sydney",-33.8678499639382,151.207323074341,"Australia","The Future Past","1. Doctor Doctor (from tape, oringinally by UFO)<br>2. Blade Runner (End Titles) (from tape, oringinally by Vangelis)<br>3. Caught Somewhere in Time<br>4. Stranger in a Strange Land<br>5. The Writing on the Wall<br>6. Days of Future Past<br>7. The Time Machine<br>8. The Prisoner<br>9. Death of the Celts<br>10. Can I Play With Madness<br>11. Heaven Can Wait<br>12. Alexander the Great<br>13. Fear of the Dark<br>14. Iron Maiden<br>15. Hell on Earth<br>16. The Trooper<br>17. Wasted Years<br>18. Always Look on the Bright Side of Life (from tape, oringinally by Monty Python)"
"4bab83ba","12-09-2024","Qudos Bank Arena","Sydney",-33.8678499639382,151.207323074341,"Australia","The Future Past","1. Doctor Doctor (from tape, oringinally by UFO)<br>2. Blade Runner (End Titles) (from tape, oringinally by Vangelis)<br>3. Caught Somewhere in Time<br>4. Stranger in a Strange Land<br>5. The Writing on the Wall<br>6. Days of Future Past<br>7. The Time Machine<br>8. The Prisoner<br>9. Death of the Celts<br>10. Can I Play With Madness<br>11. Heaven Can Wait<br>12. Alexander the Great<br>13. Fear of the Dark<br>14. Iron Maiden<br>15. Hell on Earth<br>16. The Trooper<br>17. Wasted Years<br>18. Always Look on the Bright Side of Life (from tape, oringinally by Monty Python)"
"5bab83c4","10-09-2024","Brisbane Entertainment Centre","Brisbane",-27.4679357321901,153.028092384338,"Australia","The Future Past","1. Doctor Doctor (from tape, oringinally by UFO)<br>2. Blade Runner (End Titles) (from tape, oringinally by Vangelis)<br>3. Caught Somewhere in Time<br>4. Stranger in a Strange Land<br>5. The Writing on the Wall<br>6. Days of Future Past<br>7. The Time Machine<br>8. The Prisoner<br>9. Death of the Celts<br>10. Can I Play With Madness<br>11. Heaven Can Wait<br>12. Alexander the Great<br>13. Fear of the Dark<br>14. Iron Maiden<br>15. Hell on Earth<br>16. The Trooper<br>17. Wasted Years<br>18. Always Look on the Bright Side of Life (from tape, oringinally by Monty Python)"
"4bab83c6","07-09-2024","Rod Laver Arena","Melbourne",-37.8139965641595,144.963322877884,"Australia","The Future Past","1. Doctor Doctor (from tape, oringinally by UFO)<br>2. Blade Runner (End Titles) (from tape, oringinally by Vangelis)<br>3. Caught Somewhere in Time<br>4. Stranger in a Strange Land<br>5. The Writing on the Wall<br>6. Days of Future Past<br>7. The Time Machine<br>8. The Prisoner<br>9. Death of the Celts<br>10. Can I Play With Madness<br>11. Heaven Can Wait<br>12. Alexander the Great<br>13. Fear of the Dark<br>14. Iron Maiden<br>15. Hell on Earth<br>16. The Trooper<br>17. Wasted Years<br>18. Always Look on the Bright Side of Life (from tape, oringinally by Monty Python)"
"53ab83c1","06-09-2024","Rod Laver Arena","Melbourne",-37.8139965641595,144.963322877884,"Australia","The Future Past","1. Doctor Doctor (from tape, oringinally by UFO)<br>2. Blade Runner (End Titles) (from tape, oringinally by Vangelis)<br>3. Caught Somewhere in Time<br>4. Stranger in a Strange Land<br>5. The Writing on the Wall<br>6. Days of Future Past<br>7. The Time Machine<br>8. The Prisoner<br>9. Death of the Celts<br>10. Can I Play With Madness<br>11. Heaven Can Wait<br>12. Alexander the Great<br>13. Fear of the Dark<br>14. Iron Maiden<br>15. Hell on Earth<br>16. The Trooper<br>17. Wasted Years<br>18. Always Look on the Bright Side of Life (from tape, oringinally by Monty Python)"
"43ab83cf","04-09-2024","Adelaide Entertainment Centre","Adelaide",-34.9333333,138.6,"Australia","The Future Past","1. Doctor Doctor (from tape, oringinally by UFO)<br>2. Blade Runner (End Titles) (from tape, oringinally by Vangelis)<br>3. Caught Somewhere in Time<br>4. Stranger in a Strange Land<br>5. The Writing on the Wall<br>6. Days of Future Past<br>7. The Time Machine<br>8. The Prisoner<br>9. Death of the Celts<br>10. Can I Play With Madness<br>11. Heaven Can Wait<br>12. Alexander the Great<br>13. Fear of the Dark<br>14. Iron Maiden<br>15. Hell on Earth<br>16. The Trooper<br>17. Wasted Years<br>18. Always Look on the Bright Side of Life (from tape, oringinally by Monty Python)"
"43ab83cb","01-09-2024","RAC Arena","Perth",-31.9333333,115.8333333,"Australia","The Future Past","1. Doctor Doctor (from tape, oringinally by UFO)<br>2. Blade Runner (End Titles) (from tape, oringinally by Vangelis)<br>3. Caught Somewhere in Time<br>4. Stranger in a Strange Land<br>5. The Writing on the Wall<br>6. Days of Future Past<br>7. The Time Machine<br>8. The Prisoner<br>9. Death of the Celts<br>10. Can I Play With Madness<br>11. Heaven Can Wait<br>12. Alexander the Great<br>13. Fear of the Dark<br>14. Iron Maiden<br>15. Hell on Earth<br>16. The Trooper<br>17. Wasted Years<br>18. Always Look on the Bright Side of Life (from tape, oringinally by Monty Python)"
"5ba32b18","06-10-2023","Empire Polo Club","Indio, CA",33.7205771,-116.2155619,"United States","The Future Past","1. Doctor Doctor (from tape, oringinally by UFO)<br>2. Blade Runner (End Titles) (from tape, oringinally by Vangelis)<br>3. Caught Somewhere in Time<br>4. Stranger in a Strange Land<br>5. The Writing on the Wall<br>6. Days of Future Past<br>7. The Time Machine<br>8. The Prisoner<br>9. Death of the Celts<br>10. Can I Play With Madness<br>11. Heaven Can Wait<br>12. Alexander the Great<br>13. Fear of the Dark<br>14. Iron Maiden<br>15. Hell on Earth<br>16. The Trooper<br>17. Wasted Years<br>18. Always Look on the Bright Side of Life (from tape, oringinally by Monty Python)"
"53a3c79d","02-10-2023","Rogers Arena","Vancouver",49.249657393,-123.119340403,"Canada","The Future Past","1. Doctor Doctor (from tape, oringinally by UFO)<br>2. Blade Runner (End Titles) (from tape, oringinally by Vangelis)<br>3. Caught Somewhere in Time<br>4. Stranger in a Strange Land<br>5. The Writing on the Wall<br>6. Days of Future Past<br>7. The Time Machine<br>8. The Prisoner<br>9. Death of the Celts<br>10. Can I Play With Madness<br>11. Heaven Can Wait<br>12. Alexander the Great<br>13. Fear of the Dark<br>14. Iron Maiden<br>15. Hell on Earth<br>16. The Trooper<br>17. Wasted Years<br>18. Always Look on the Bright Side of Life (from tape, oringinally by Monty Python)"
"63a3eedf","30-09-2023","Rogers Place","Edmonton",53.550135939,-113.468712219,"Canada","The Future Past","1. Doctor Doctor (from tape, oringinally by UFO)<br>2. Blade Runner (End Titles) (from tape, oringinally by Vangelis)<br>3. Caught Somewhere in Time<br>4. Stranger in a Strange Land<br>5. The Writing on the Wall<br>6. Days of Future Past<br>7. The Time Machine<br>8. The Prisoner<br>9. Death of the Celts<br>10. Can I Play With Madness<br>11. Heaven Can Wait<br>12. Alexander the Great<br>13. Fear of the Dark<br>14. Iron Maiden<br>15. Hell on Earth<br>16. The Trooper<br>17. Wasted Years<br>18. Always Look on the Bright Side of Life (from tape, oringinally by Monty Python)"
"3a38123","28-09-2023","Scotiabank Saddledome","Calgary",51.050112282,-114.085285152,"Canada","The Future Past","1. Doctor Doctor (from tape, oringinally by UFO)<br>2. Blade Runner (End Titles) (from tape, oringinally by Vangelis)<br>3. Caught Somewhere in Time<br>4. Stranger in a Strange Land<br>5. The Writing on the Wall<br>6. Days of Future Past<br>7. The Time Machine<br>8. The Prisoner<br>9. Death of the Celts<br>10. Can I Play With Madness<br>11. Heaven Can Wait<br>12. Alexander the Great<br>13. Fear of the Dark<br>14. Iron Maiden<br>15. Hell on Earth<br>16. The Trooper<br>17. Wasted Years<br>18. Always Look on the Bright Side of Life (from tape, oringinally by Monty Python)"
"2ba4203e","04-08-2023","Hauptstrasse","Wacken",54.021,9.376,"Germany","The Future Past","1. Doctor Doctor (from tape, oringinally by UFO)<br>2. Blade Runner (End Titles) (from tape, oringinally by Vangelis)<br>3. Caught Somewhere in Time<br>4. Stranger in a Strange Land<br>5. The Writing on the Wall<br>6. Days of Future Past<br>7. The Time Machine<br>8. The Prisoner<br>9. Death of the Celts<br>10. Can I Play With Madness<br>11. Heaven Can Wait<br>12. Alexander the Great<br>13. Fear of the Dark<br>14. Iron Maiden<br>15. Hell on Earth<br>16. The Trooper<br>17. Wasted Years<br>18. Always Look on the Bright Side of Life (from tape, oringinally by Monty Python)"
"13a43d3d","01-08-2023","Olympiahalle","Munich",48.1374325498109,11.5754914283752,"Germany","The Future Past","1. Doctor Doctor (from tape, oringinally by UFO)<br>2. Blade Runner (End Titles) (from tape, oringinally by Vangelis)<br>3. Caught Somewhere in Time<br>4. Stranger in a Strange Land<br>5. The Writing on the Wall<br>6. Days of Future Past<br>7. The Time Machine<br>8. The Prisoner<br>9. Death of the Celts<br>10. Can I Play With Madness<br>11. Heaven Can Wait<br>12. Alexander the Great<br>13. Fear of the Dark<br>14. Iron Maiden<br>15. Hell on Earth<br>16. The Trooper<br>17. Wasted Years<br>18. Always Look on the Bright Side of Life (from tape, oringinally by Monty Python)"
"3ba4c8c4","31-07-2023","Olympiahalle","Munich",48.1374325498109,11.5754914283752,"Germany","The Future Past","1. Doctor Doctor (from tape, oringinally by UFO)<br>2. Blade Runner (End Titles) (from tape, oringinally by Vangelis)<br>3. Caught Somewhere in Time<br>4. Stranger in a Strange Land<br>5. The Writing on the Wall<br>6. Days of Future Past<br>7. The Time Machine<br>8. The Prisoner<br>9. Death of the Celts<br>10. Can I Play With Madness<br>11. Heaven Can Wait<br>12. Alexander the Great<br>13. Fear of the Dark<br>14. Iron Maiden<br>15. Hell on Earth<br>16. The Trooper<br>17. Wasted Years<br>18. Always Look on the Bright Side of Life (from tape, oringinally by Monty Python)"
"2ba4e00a","29-07-2023","Festhalle","Frankfurt",50.1166667,8.6833333,"Germany","The Future Past","1. Doctor Doctor (from tape, oringinally by UFO)<br>2. Blade Runner (End Titles) (from tape, oringinally by Vangelis)<br>3. Caught Somewhere in Time<br>4. Stranger in a Strange Land<br>5. The Writing on the Wall<br>6. Days of Future Past<br>7. The Time Machine<br>8. The Prisoner<br>9. Death of the Celts<br>10. Can I Play With Madness<br>11. Heaven Can Wait<br>12. Alexander the Great<br>13. Fear of the Dark<br>14. Iron Maiden<br>15. Hell on Earth<br>16. The Trooper<br>17. Wasted Years<br>18. Always Look on the Bright Side of Life (from tape, oringinally by Monty Python)"
"2ba48036","26-07-2023","Westfalenhalle","Dortmund",51.5166667,7.45,"Germany","The Future Past","1. Doctor Doctor (from tape, oringinally by UFO)<br>2. Blade Runner (End Titles) (from tape, oringinally by Vangelis)<br>3. Caught Somewhere in Time<br>4. Stranger in a Strange Land<br>5. The Writing on the Wall<br>6. Days of Future Past<br>7. The Time Machine<br>8. The Prisoner<br>9. Death of the Celts<br>10. Can I Play With Madness<br>11. Heaven Can Wait<br>12. Alexander the Great<br>13. Fear of the Dark<br>14. Iron Maiden<br>15. Hell on Earth<br>16. The Trooper<br>17. Wasted Years<br>18. Always Look on the Bright Side of Life (from tape, oringinally by Monty Python)"
"6ba48e96","25-07-2023","Westfalenhalle","Dortmund",51.5166667,7.45,"Germany","The Future Past","1. Doctor Doctor (from tape, oringinally by UFO)<br>2. Blade Runner (End Titles) (from tape, oringinally by Vangelis)<br>3. Caught Somewhere in Time<br>4. Stranger in a Strange Land<br>5. The Writing on the Wall<br>6. Days of Future Past<br>7. The Time Machine<br>8. The Prisoner<br>9. Death of the Celts<br>10. Can I Play With Madness<br>11. Heaven Can Wait<br>12. Alexander the Great<br>13. Fear of the Dark<br>14. Iron Maiden<br>15. Hell on Earth<br>16. The Trooper<br>17. Wasted Years<br>18. Always Look on the Bright Side of Life (from tape, oringinally by Monty Python)"
"7ba4aeb8","22-07-2023","Bizkaia Arena","Barakaldo",43.2956366817153,-2.99729347229004,"Spain","The Future Past","1. Doctor Doctor (from tape, oringinally by UFO)<br>2. Blade Runner (End Titles) (from tape, oringinally by Vangelis)<br>3. Caught Somewhere in Time<br>4. Stranger in a Strange Land<br>5. The Writing on the Wall<br>6. Days of Future Past<br>7. The Time Machine<br>8. The Prisoner<br>9. Death of the Celts<br>10. Can I Play With Madness<br>11. Heaven Can Wait<br>12. Alexander the Great<br>13. Fear of the Dark<br>14. Iron Maiden<br>15. Hell on Earth<br>16. The Trooper<br>17. Wasted Years<br>18. Always Look on the Bright Side of Life (from tape, oringinally by Monty Python)"
"3ba74018","20-07-2023","Estadio Enrique Roca de Murcia","Churra",38.0234,-1.13292,"Spain","The Future Past","1. Doctor Doctor (from tape, oringinally by UFO)<br>2. Blade Runner (End Titles) (from tape, oringinally by Vangelis)<br>3. Caught Somewhere in Time<br>4. Stranger in a Strange Land<br>5. The Writing on the Wall<br>6. Days of Future Past<br>7. The Time Machine<br>8. The Prisoner<br>9. Death of the Celts<br>10. Can I Play With Madness<br>11. Heaven Can Wait<br>12. Alexander the Great<br>13. Fear of the Dark<br>14. Iron Maiden<br>15. Hell on Earth<br>16. The Trooper<br>17. Wasted Years<br>18. Always Look on the Bright Side of Life (from tape, oringinally by Monty Python)"
"3ba75804","18-07-2023","Palau Sant Jordi","Barcelona",41.3887868890716,2.15898513793945,"Spain","The Future Past","1. Doctor Doctor (from tape, oringinally by UFO)<br>2. Blade Runner (End Titles) (from tape, oringinally by Vangelis)<br>3. Caught Somewhere in Time<br>4. Stranger in a Strange Land<br>5. The Writing on the Wall<br>6. Days of Future Past<br>7. The Time Machine<br>8. The Prisoner<br>9. Death of the Celts<br>10. Can I Play With Madness<br>11. Heaven Can Wait<br>12. Alexander the Great<br>13. Fear of the Dark<br>14. Iron Maiden<br>15. Hell on Earth<br>16. The Trooper<br>17. Wasted Years<br>18. Always Look on the Bright Side of Life (from tape, oringinally by Monty Python)"
"33a77c95","15-07-2023","Ippodromo del Galoppo di San Siro","Milan",45.4642693810258,9.1895055770874,"Italy","The Future Past","1. Doctor Doctor (from tape, oringinally by UFO)<br>2. Blade Runner (End Titles) (from tape, oringinally by Vangelis)<br>3. Caught Somewhere in Time<br>4. Stranger in a Strange Land<br>5. The Writing on the Wall<br>6. Days of Future Past<br>7. The Time Machine<br>8. The Prisoner<br>9. Death of the Celts<br>10. Can I Play With Madness<br>11. Heaven Can Wait<br>12. Alexander the Great<br>13. Fear of the Dark<br>14. Iron Maiden<br>15. Hell on Earth<br>16. The Trooper<br>17. Wasted Years<br>18. Always Look on the Bright Side of Life (from tape, oringinally by Monty Python)"
"3ba710bc","13-07-2023","Sportpaleis","Merksem",51.25,4.45,"Belgium","The Future Past","1. Doctor Doctor (from tape, oringinally by UFO)<br>2. Blade Runner (End Titles) (from tape, oringinally by Vangelis)<br>3. Caught Somewhere in Time<br>4. Stranger in a Strange Land<br>5. The Writing on the Wall<br>6. Days of Future Past<br>7. The Time Machine<br>8. The Prisoner<br>9. Death of the Celts<br>10. Can I Play With Madness<br>11. Heaven Can Wait<br>12. Alexander the Great<br>13. Fear of the Dark<br>14. Iron Maiden<br>15. Hell on Earth<br>16. The Trooper<br>17. Wasted Years<br>18. Always Look on the Bright Side of Life (from tape, oringinally by Monty Python)"
"1ba72500","11-07-2023","Ziggo Dome","Amsterdam",52.373,4.9,"Netherlands","The Future Past","1. Doctor Doctor (from tape, oringinally by UFO)<br>2. Blade Runner (End Titles) (from tape, oringinally by Vangelis)<br>3. Caught Somewhere in Time<br>4. Stranger in a Strange Land<br>5. The Writing on the Wall<br>6. Days of Future Past<br>7. The Time Machine<br>8. The Prisoner<br>9. Death of the Celts<br>10. Can I Play With Madness<br>11. Heaven Can Wait<br>12. Alexander the Great<br>13. Fear of the Dark<br>14. Iron Maiden<br>15. Hell on Earth<br>16. The Trooper<br>17. Wasted Years<br>18. Always Look on the Bright Side of Life (from tape, oringinally by Monty Python)"
"3ba7c804","08-07-2023","The O2 Arena","London",51.5084152563931,-0.125532746315002,"United Kingdom","The Future Past","1. Doctor Doctor (from tape, oringinally by UFO)<br>2. Blade Runner (End Titles) (from tape, oringinally by Vangelis)<br>3. Caught Somewhere in Time<br>4. Stranger in a Strange Land<br>5. The Writing on the Wall<br>6. Days of Future Past<br>7. The Time Machine<br>8. The Prisoner<br>9. Death of the Celts<br>10. Can I Play With Madness<br>11. Heaven Can Wait<br>12. Alexander the Great<br>13. Fear of the Dark<br>14. Iron Maiden<br>15. Hell on Earth<br>16. The Trooper<br>17. Wasted Years<br>18. Always Look on the Bright Side of Life (from tape, oringinally by Monty Python)"
